Image,x0,y0,x1,y1
72c3ce75c.jpg,11,5,1049,414
a7ad640ee.jpg,40,66,506,315
df2b6c364.jpg,25,14,1030,322
26013fcb5.jpg,0,8,1049,340
09eff7b37.jpg,9,15,914,345
321f922d3.jpg,3,103,629,313
a08161913.jpg,5,27,539,322
d2dde23b0.jpg,13,227,1038,468
111d1ab30.jpg,48,25,1020,236
cec27e4e3.jpg,64,180,971,497
89acede28.jpg,56,130,1001,338
b592e25d4.jpg,49,71,1010,334
621c3ed03.jpg,10,316,1040,531
86517d536.jpg,26,66,438,208
c5f4b73be.jpg,39,112,984,500
5afaf2ffd.jpg,85,72,625,489
b060f5529.jpg,8,75,1030,410
7919aa309.jpg,84,53,944,598
5a35f6ded.jpg,58,80,998,513
f25a1c3f5.jpg,18,238,1007,523
8d4453e81.jpg,19,311,1041,577
3b2468366.jpg,11,96,872,342
929b9b616.jpg,34,124,1020,363
e2deae874.jpg,129,138,892,524
6802020c8.jpg,43,13,1007,595
1b5501c54.jpg,32,79,749,251
54cfc2e29.jpg,24,43,1028,349
935851f78.jpg,0,5,1049,317
2f794634f.jpg,0,15,1037,342
9659257b6.jpg,11,56,1035,421
9d83a3f97.jpg,62,176,924,516
6516fdf9a.jpg,0,1,944,522
50e48ba76.jpg,42,87,521,374
7b65d88a1.jpg,52,5,799,461
430e59cfe.jpg,0,64,897,275
8aec615b2.jpg,147,51,894,352
f9832ec6b.jpg,37,26,1022,443
8ec227a2d.jpg,402,155,882,280
6325cd7bc.jpg,17,20,357,175
773996d67.jpg,3,184,687,462
8121b306c.jpg,21,11,629,283
4ef622128.jpg,12,15,1037,310
417a39ef8.jpg,23,79,1026,447
129776139.jpg,32,125,672,284
77b7e53cd.jpg,7,20,308,103
42fdde329.jpg,0,120,685,347
915f52b29.jpg,27,37,577,141
4bfb77747.jpg,0,86,607,229
0f61f7349.jpg,51,163,996,521
439867f0f.jpg,14,34,1039,492
83ba3bdea.jpg,24,150,1029,399
93d091bc1.jpg,115,164,822,442
476c2eb33.jpg,45,41,998,301
d36d43a20.jpg,19,37,1027,435
a52530551.jpg,23,56,949,278
3cffa45c3.jpg,9,15,1019,320
30313cca2.jpg,105,153,884,456
02dfe3c04.jpg,13,330,1025,634
7971a68ba.jpg,8,8,1045,366
434117dc5.jpg,0,13,1044,350
40de7bb70.jpg,31,13,1022,255
77714a6a5.jpg,15,108,1040,292
e5cf9ad44.jpg,8,88,1035,386
979f47898.jpg,107,212,946,506
5447bd0dc.jpg,0,7,1047,326
721680cca.jpg,6,8,859,444
f2d1c8ffe.jpg,43,159,978,443
ee88bb6d0.jpg,194,275,909,502
ea9995722.jpg,5,120,697,296
0811188a6.jpg,24,83,1007,409
323a81cdc.jpg,0,142,1049,503
6b74f2430.jpg,5,153,981,699
74d7e9950.jpg,22,80,1033,379
47e71881d.jpg,0,40,849,276
c19895cb2.jpg,10,8,1034,195
8b10db8af.jpg,27,25,1034,266
4e361d4dd.jpg,38,34,507,253
c877537e3.jpg,28,56,567,228
8c50ecf42.jpg,0,142,924,496
87a947c58.jpg,15,12,1039,358
de8d7aa2f.jpg,14,212,1000,461
70ced4a03.jpg,46,109,1008,350
ed5a12865.jpg,48,139,1010,430
b9908b865.jpg,8,95,1029,497
0b91604a1.jpg,37,110,1013,598
c9c36c196.jpg,1,130,675,332
07250af68.jpg,124,147,964,558
7675b59c4.jpg,16,151,1031,456
60739de55.jpg,23,43,699,460
04a973240.jpg,6,1,1049,386
0cacd7317.jpg,29,15,883,681
ee973fb51.jpg,8,17,1037,216
6d21e6002.jpg,6,217,1049,528
d37dcccd6.jpg,23,45,1045,340
b46fc8282.jpg,11,245,1041,478
034176bf3.jpg,22,79,1049,359
7dcbd7e9b.jpg,46,15,670,597
a97caed52.jpg,70,229,974,443
ab5e2ef88.jpg,84,54,981,344
a20b60095.jpg,0,180,1041,592
2eb652f75.jpg,77,95,1000,528
dddc7467f.jpg,7,88,690,441
2690eea21.jpg,14,97,911,350
4cba22fda.jpg,9,156,682,467
2fcb9b96c.jpg,43,85,1028,596
492edcffd.jpg,5,17,878,722
f0e209e32.jpg,5,121,968,352
89691086c.jpg,0,13,336,324
75e041765.jpg,14,11,1032,164
415948e17.jpg,11,204,766,384
800ac9c4c.jpg,36,63,1033,392
6d025bb93.jpg,27,25,1020,543
61747578d.jpg,84,98,940,417
5e1487a7b.jpg,92,144,1009,387
fe943748b.jpg,10,132,689,276
8972f1669.jpg,56,195,978,494
70b718db5.jpg,49,8,1024,449
234a873a8.jpg,6,164,1043,426
59ced9f36.jpg,57,198,1007,511
fae3fc649.jpg,29,23,1005,528
11d39fc43.jpg,17,74,674,236
72247654d.jpg,37,171,1024,548
69510e71b.jpg,51,201,955,542
461ce2c39.jpg,39,143,990,438
d0e1772f3.jpg,61,166,998,511
68580b658.jpg,0,212,1049,599
d7c54a090.jpg,9,95,901,404
9ce417a0b.jpg,13,14,692,182
20d96f6e9.jpg,27,63,1002,417
fdff85974.jpg,0,12,1041,368
ac17365b1.jpg,52,176,969,446
64e4b9399.jpg,8,9,941,543
c905d07c9.jpg,56,116,847,311
29fa5bbc5.jpg,0,110,605,314
42da4ddf6.jpg,9,45,702,229
c0c111f43.jpg,51,40,356,129
ea097bbbe.jpg,0,138,868,349
43b40b78f.jpg,13,10,1034,293
ea05dd80d.jpg,17,14,977,404
62c6171bc.jpg,23,25,1023,253
965de6a7c.jpg,12,77,1024,461
2f1fd5a05.jpg,53,199,986,427
d354eccc8.jpg,9,143,987,474
ae2af8969.jpg,0,126,950,385
1ff4c316f.jpg,0,34,650,235
5b259d879.jpg,20,35,994,551
33402fb91.jpg,18,14,905,445
9e2f7f7e3.jpg,28,133,486,256
9db2e3b3d.jpg,8,10,1033,268
3dc0f520e.jpg,119,264,905,482
dcd75585e.jpg,78,224,955,472
86f1f0148.jpg,101,234,1010,472
28ff6317c.jpg,43,66,653,364
a41708032.jpg,6,7,1046,333
070e4a8b7.jpg,161,52,903,584
a16b4096a.jpg,54,97,865,329
94f209924.jpg,19,176,1007,499
2ac3aff55.jpg,0,174,1033,460
a1d9035f6.jpg,8,17,1049,341
386d4aa17.jpg,115,153,1748,505
05cb42d60.jpg,25,21,1012,283
845b89c09.jpg,193,91,869,548
f34e57305.jpg,54,44,1010,360
5193db4fe.jpg,22,66,1034,458
10a5a6726.jpg,26,157,899,350
fefec451f.jpg,9,5,1040,384
4f69490ca.jpg,2,11,285,117
2a260d035.jpg,99,190,850,381
417b023cd.jpg,249,285,659,465
5e6bb41d8.jpg,31,85,685,404
803515118.jpg,47,112,987,367
d8b18114e.jpg,16,4,1048,365
2c1bdb82f.jpg,18,86,1024,385
5cecc5aed.jpg,5,40,592,345
e56b92996.jpg,7,147,878,399
79fba5cf6.jpg,16,243,1030,541
e0fce9c8b.jpg,0,36,956,271
38d2d8683.jpg,45,126,936,476
1e73ca94a.jpg,10,235,1042,450
d784a1ef6.jpg,0,136,1029,563
f7d525070.jpg,14,34,1049,416
b7215997a.jpg,68,160,970,440
351d7ea25.jpg,0,0,730,318
c89e41877.jpg,110,109,1049,480
2315e2226.jpg,25,7,1013,383
a8dd1df0a.jpg,149,105,607,404
f781b3470.jpg,19,33,969,534
b70404789.jpg,15,311,1010,501
8de6a8490.jpg,10,11,1036,323
1c3f19845.jpg,0,8,641,297
ef1d5fd6e.jpg,78,147,998,499
eb773eaa7.jpg,35,3,322,205
59c361dc7.jpg,0,268,884,461
9b8c3c8b8.jpg,46,71,1023,390
2231149cc.jpg,56,195,997,484
ff6e12f04.jpg,11,18,1049,422
3a0fe3838.jpg,3,62,678,293
d91cf0b58.jpg,10,0,1049,343
4be5fb95c.jpg,7,10,584,229
f9ccd9e8d.jpg,0,236,1034,580
c7dbe379f.jpg,0,135,855,504
f83d1ff1d.jpg,56,117,1049,441
01c26d722.jpg,8,78,1043,380
e7a743075.jpg,38,155,686,466
5c2b543c0.jpg,69,90,934,452
e6dd1c3a8.jpg,12,16,642,162
981896788.jpg,6,11,1047,270
6e8bdb971.jpg,0,203,913,595
d92268397.jpg,154,71,801,600
907efef33.jpg,0,15,2234,388
e7c2005c2.jpg,38,52,1009,273
b9878af66.jpg,28,151,643,435
003795857.jpg,7,10,1037,320
cd5712905.jpg,129,159,961,495
208d6e192.jpg,37,75,999,319
491381154.jpg,15,103,818,339
684b366c7.jpg,21,24,1031,500
aad9049de.jpg,0,12,698,284
a1fd2bf3c.jpg,21,13,1028,475
8465251e9.jpg,24,128,1030,370
a968a1f70.jpg,35,30,995,339
ec0e2be47.jpg,49,155,1010,404
de7690ec5.jpg,6,53,1041,384
8e5c12e6b.jpg,0,49,701,428
4cfb91c32.jpg,39,102,1026,647
c3922d9de.jpg,11,9,1040,391
319c507a7.jpg,12,7,1035,233
08a5ab510.jpg,0,16,1032,607
21f352cba.jpg,35,205,971,568
8a36c79c4.jpg,76,84,951,438
27e7175d6.jpg,158,217,1031,525
da79a57bb.jpg,116,113,922,398
21e6e2236.jpg,61,46,975,307
744ce7bcf.jpg,0,187,1049,453
2f58ccdf5.jpg,17,10,1038,421
f09b1d8a4.jpg,0,71,1044,414
014a7cdf0.jpg,22,20,485,226
af95d7bb8.jpg,3,65,1049,436
1476b1192.jpg,0,9,1046,320
a919fb110.jpg,0,14,1024,451
44b59a138.jpg,55,157,1009,525
047f3949c.jpg,34,240,1028,670
16e62d1a1.jpg,0,12,1049,327
368cfd705.jpg,27,132,853,454
7636736a7.jpg,45,125,990,507
305015649.jpg,3,0,1049,599
4e0c08556.jpg,0,0,1049,592
830ab6274.jpg,7,14,679,268
6cc50604e.jpg,12,11,1038,293
a3c8f9862.jpg,64,195,1049,460
b065a0fdc.jpg,118,274,879,544
9fec83ed4.jpg,71,130,953,474
fa773d1c8.jpg,35,26,1049,341
2b3ff669a.jpg,22,266,1038,694
a1ca1eb39.jpg,8,11,1029,409
a4e619da0.jpg,18,12,1029,334
22cdde2c2.jpg,14,23,1027,363
93ab56312.jpg,32,29,1025,370
43b4ce112.jpg,63,208,998,486
3c08f5eda.jpg,139,236,920,552
69945e6bb.jpg,57,141,996,416
558a7db39.jpg,0,89,777,370
e2a0a5cc5.jpg,16,58,1037,393
732251af4.jpg,52,80,986,263
32d15705e.jpg,25,173,981,492
b51da35a2.jpg,0,4,1049,367
0706d4216.jpg,6,9,1046,328
e12a65860.jpg,5,93,1039,409
62143fb34.jpg,8,10,1038,654
d3c0f868d.jpg,43,153,1004,491
5ff64c3a6.jpg,66,138,890,394
